log_salario_actual,log_salario_inicial,educacion_anios,senior,edad,experiencia_ini_anios
9.6853,9.0359,16,81,28.5,0.25
10.2524,9.7642,19,83,41.92,13
10.0345,9.2873,15,98,41.17,12
9.4174,8.6376,12,94,46.25,20
9.9282,9.3049,16,83,35.17,5.75
10.2128,9.4575,19,78,30.08,2.92
9.105,8.7948,12,70,44.5,18
9.3038,8.6793,12,70,27.83,3.42
9.6816,9.2301,15,78,35.42,11.08
9.9965,9.3049,16,90,34.33,5.67
10.0858,9.1582,16,94,34,4.92
9.6473,9.1582,15,78,38.92,14.67
9.5359,9.3147,16,82,44.42,12.42
10.3735,8.7483,15,82,29.5,2.83
9.3927,8.7483,12,69,63.58,29
9.5042,8.7483,12,66,27.42,3.92
9.4556,8.6995,8,85,58.08,36.5
10.0962,9.1049,16,91,33.75,3.67
9.1378,8.6482,12,95,29.33,3.83
10.2921,9.2591,18,94,39.67,4.67
10.1659,9.6158,21,88,56.67,22
9.3414,8.7483,8,69,59.42,14.5
9.9035,9.4724,16,77,48.33,22
9.4556,8.7483,8,74,63.5,34
9.3927,8.7483,12,79,54.17,25.67
9.5539,8.7483,12,78,59.83,32.25
9.8119,9.1377,16,86,32.25,5
10.1166,9.5956,19,80,42.58,16.58
10.1266,9.5462,18,75,35.42,6.17
10.5133,9.68,19,96,44.92,14.58
9.4174,8.5941,12,95,56,25.58
10.6334,9.306,16,97,37.08,5.83
9.4174,8.6995,8,87,64.25,37.58
10.24,9.5479,19,67,36.92,6.25
10.0266,9.2103,16,93,33.42,2.83
9.575,8.9226,15,98,37.17,9.5
10.1166,9.3497,19,65,28.42,2.17
9.0572,8.4763,12,98,64.5,31.75
9.0711,8.4118,12,65,23,0
9.0848,8.4763,12,76,40.17,0.5
9.3927,8.7948,12,95,55.25,19
9.1442,8.5941,12,64,45.5,16.5
9.4415,8.9226,12,90,61.67,17.08
9.3673,8.4381,15,93,26.83,0.92
9.1757,8.537,8,66,46.17,8
9.3147,8.9618,15,82,58.75,22.08
8.7578,8.3138,8,74,55.25,3.58
9.2183,8.6586,12,91,33.5,6.92
9.0642,8.5941,8,66,64.25,19
10.0301,9.3926,16,73,31.92,1.25
9.105,8.3848,8,81,24.33,0.42
9.007,8.4118,12,69,23.42,0
9.2591,8.4381,12,97,53.92,4
9.3622,8.537,17,73,55.58,31.25
9.7527,8.853,16,79,28.42,1.67
9.6238,8.7483,16,90,29.92,0.58
9.078,8.2687,12,86,52,13
8.9847,8.3138,12,72,52.17,4.67
8.8901,8.2687,12,86,62,6
9.5298,8.9618,16,65,30.75,6.58
9.8389,8.8392,16,86,32,1.58
9.0216,8.6482,15,65,59.5,20.08
10.0123,8.9862,16,64,29,3
9.497,8.6995,12,90,44.5,0.25
8.9771,8.3138,8,83,59.08,6.25
9.0288,8.5941,12,67,51.5,15.08
9.7642,8.9618,16,68,27.58,0.92
8.8217,8.3138,8,72,56.92,26.58
9.3361,8.4763,8,98,27.83,2.17
9.2301,8.6586,12,86,28.67,3.08
9.5324,8.7483,8,79,48.5,20.5
9.4174,8.6995,8,92,60.67,36
9.4026,8.7483,8,68,32.92,12.92
9.3775,8.7483,8,76,35.25,12
9.4076,8.6995,12,91,30.33,4.08
10.0758,9.5104,12,74,48.25,22.67
9.4319,8.7483,12,73,38.67,12.92
9.2301,8.425,12,81,24.75,0.75
10.3546,9.3497,17,70,32.08,5.58
9.4222,8.6995,12,94,34.58,8.5
9.4174,8.1886,12,91,53.5,26.17
10.5966,9.7779,16,66,35.33,10.67
9.3927,8.7483,8,67,47.25,25.42
9.1569,8.5941,15,88,57.5,29.92
9.3201,8.6995,14,79,30.33,3.92
9.1819,8.6995,15,90,42.17,15.92
9.3927,8.6995,8,92,37.83,12
9.4174,8.6995,8,83,48.83,25.17
9.105,8.2687,8,94,29.17,3
9.2418,8.5941,15,78,48.67,4.25
9.1881,8.6482,12,74,45.17,9.75
8.8217,8.1886,12,97,60.67,10.33
8.8305,8.3138,8,81,51.5,0
9.1313,8.4763,16,84,47.58,17.83
9.3876,8.6995,15,86,40.5,6.58
9.0848,8.3848,12,92,25.5,0.42
9.0143,8.4118,12,73,47.92,12.83
8.9464,8.1886,15,96,60.5,1.92
9.3038,8.3138,12,85,54.17,8.42
9.1881,8.3848,12,75,27.58,2.67
10.631,10.0858,16,73,40.33,12.5
9.997,9.2301,15,83,31.08,4.08
9.8627,9.0711,16,93,31.17,1.83
10.2128,9.4724,18,80,29.5,2.42
9.4174,8.7483,12,77,52.92,26.42
9.9988,9.2591,17,93,32.33,2.67
9.8532,9.488,19,64,31.92,2.25
10.0078,9.5104,19,81,30.75,5.17
10.2219,9.306,17,89,34.17,3.17
10.24,9.0711,16,65,28,1.58
9.9988,9.5462,19,65,39.75,10.75
10.2036,9.5462,17,83,30.17,0.75
10.3514,9.3049,18,91,30.17,3.92
9.9988,9.4724,18,75,41.17,10.42
10.2887,9.488,19,78,32.92,3.75
9.4174,8.7483,8,78,63.75,35.75
9.9641,9.036,16,93,30.67,4
9.4174,8.6995,8,84,63.42,31.67
10.1064,9.488,19,68,29.5,0.75
10.1811,9.852,16,86,42.42,12.5
10.3498,9.3927,19,93,31.67,0.58
10.0753,9.3927,20,89,35.58,0.5
10.0648,9.0711,16,84,30.25,1.08
10.1659,9.4174,17,78,29.75,2.17
9.4125,8.7483,12,80,61.67,38.33
9.8782,9.0821,16,76,32.67,5.08
9.8201,9.0474,16,93,29.75,2.92
10.1659,9.4566,19,69,28.83,6.17
9.9451,9.3049,19,80,45.67,18.42
9.9321,9.5816,18,78,39.42,12.42
10.5662,9.5471,19,91,34.33,5.67
9.5104,8.6995,12,83,50.25,23.67
9.5324,8.4888,12,77,24.33,0.33
9.5411,8.6691,16,93,31.5,0.67
9.0288,8.4764,8,79,50.17,5.83
9.1695,8.5942,12,98,47.33,20.33
9.1942,8.299,12,92,44,3.67
9.3308,8.537,15,81,27.17,1.58
9.0711,8.5132,8,74,59.83,26.5
9.3725,8.7193,12,72,25.75,2.5
9.1695,8.4118,12,83,25.83,1.33
9.3725,8.6482,12,63,25.08,0.75
9.1942,8.5942,12,78,27.17,3.92
9.6512,8.6995,16,97,30.58,1.42
9.2648,8.5942,15,94,29.5,0.25
9.1881,8.5717,12,88,54.42,8.92
8.9227,8.3428,15,90,58,4.5
9.6037,8.8818,15,75,28.75,0.42
9.6198,8.7483,12,73,54.08,11
9.1881,8.4764,12,79,24.33,0.67
9.3414,8.3428,12,92,25.5,0.5
9.2003,8.3848,12,79,24.67,0.42
9.4742,8.5942,15,90,28.75,1.83
9.9233,8.8818,16,93,32.5,1.83
9.1182,8.4118,12,68,23.42,0.17
9.6434,8.7948,16,90,30.42,0
9.1632,8.537,12,69,24.42,1.67
9.0288,8.4763,12,87,53.92,13.58
8.8901,8.3848,12,80,25,0
8.7948,8.3138,12,84,62.42,24
9.4026,8.7948,16,98,43.92,11.92
9.5148,8.4763,12,82,28.17,0.92
9.236,8.6482,15,82,30.17,4.25
9.32,8.5941,12,73,27.33,2.67
9.1819,8.3848,12,93,25.25,0.42
9.3518,8.6269,12,72,27.33,1.5
9.2591,8.3848,12,89,25.83,0
9.1182,8.4118,12,69,23.67,0
8.8038,8.2687,8,88,62.5,34.33
9.0216,8.4118,12,69,23.67,0.17
9.2183,8.6269,15,64,29.08,4.75
9.0431,8.4763,8,73,60.5,13.25
8.8392,8.3138,12,82,53.92,29.83
9.1313,8.4118,12,81,24.08,1.08
9.2761,8.5941,12,88,29.92,3.17
9.3622,8.5941,12,96,39.5,9.42
9.497,8.853,16,67,41.67,10
8.9695,8.537,12,84,44.58,15
9.2591,8.7671,8,67,51.42,8.08
9.3254,8.7948,15,66,30.75,7
9.071,8.537,12,97,53.08,26.25
9.1049,8.6995,15,82,59.75,30.92
9.2873,8.8818,17,70,47.33,16
9.2704,8.6995,16,78,33.83,8.75
9.3038,8.6995,12,90,37.5,14.42
9.0982,8.6995,12,80,57.17,22.67
9.4556,8.7483,15,67,29.33,4.83
9.2761,8.7483,12,76,28.33,1.5
9.4366,8.6995,15,96,31.92,4.08
9.4173,8.6995,12,91,45.5,20
9.5539,8.7483,12,78,55.33,23.42
9.3147,8.6482,15,98,33.67,2.83
9.4173,8.6995,12,90,43.67,17.42
8.8479,8.3138,12,72,46.5,9.67
9.2928,8.7483,15,84,55.17,19.25
8.7856,8.3138,12,66,60.5,13.58
8.8217,8.3138,12,72,51.5,22.58
9.2534,8.5941,12,72,50.33,14.08
8.9695,8.6269,12,69,50,11.08
8.9065,8.3138,12,85,51,19
